"","stops.stop_name","stops.stop_id","stops.stop_lat","stops.stop_lon","freq"
"1","Ward Rd PnR (Ar)","35236",39.781251,-105.138657,557
"2","Larimer St & Downing St","35234",39.767591,-104.973545,142
"3","Virginia Ave & S Cherry St","35235",39.707466,-104.932877,262
"4","Larimer St & 32nd St","35232",39.764239,-104.97787,142
"5","Larimer St & 34th St","35233",39.765885,-104.975756,142
"6","Larimer St & 28th St","35230",39.760294,-104.982985,142
"7","Larimer St & 30th St","35231",39.762042,-104.980714,142
"8","6th Ave & Elm St","11542",39.725652,-104.929761,182
"9","6th Ave & Dexter St","11540",39.725657,-104.933242,182
"10","6th Ave & Elm St","11541",39.725279,-104.929176,188
"11","6th Ave & Fulton St","11547",39.725466,-104.869972,188
"12","6th Ave & Fulton St","11548",39.725646,-104.870947,182
"13","6th Ave & Glencoe St","11549",39.725282,-104.925809,188
"14","28th St & Hwy 119 Farside","19395",40.037148,-105.258301,190
"15","Heatherwood Dr & Ashfield Ct","19393",40.054814,-105.177427,148
"16","4700 Block Heatherwood Dr","19392",40.056888,-105.171305,148
"17","Gillaspie Dr & Darley Ave","19390",39.978846,-105.24943,28
"18","W Alameda Ave & S Perry St","22264",39.711363,-105.040198,228
"19","S Broadway & W Floyd Ave","22268",39.656016,-104.98775,442
"20","S University Blvd & Crossland Way","25062",39.543953,-104.917725,154
"21","S University Blvd & Crossland Way","25060",39.544393,-104.918528,148
"22","Rock Creek Pkwy & Pitkin Ave","25067",39.943201,-105.158564,100
"23","Mountain View PnR","25064",39.502743,-105.322805,24
"24","Rock Creek Pkwy & Indiana St","25068",39.939493,-105.155127,100
"25","Rock Creek Pkwy & S 88th St","25069",39.937656,-105.147988,100
"26","W Alameda Ave & S Bannock St","11954",39.711249,-104.990666,438
"27","W Mineral Ave & S Utica Dr","25280",39.580816,-105.047304,42
"28","Hwy 119 & Airport Rd","19973",40.121142,-105.151456,152
"29","US 287 & Lucerne Dr","19971",40.010647,-105.102748,48
"30","Monaco St & 67th Ave","15488",39.81844,-104.912752,158
"31","Vasquez Blvd & 56th Ave","19977",39.796801,-104.936444,2
"32","Vasquez Blvd & 56th Ave","19976",39.795971,-104.936628,2
"33","Independence St & Ralston Rd","16255",39.802487,-105.104694,78
"34","Colorado Blvd & 48th Ave","19974",39.784131,-104.940344,2
"35","Ralston Rd & Allendale Dr","16259",39.806849,-105.108763,76
"36","Ralston Rd & W 59th Ave","16258",39.804985,-105.106515,78
"37","S Tamarac Dr & Hampden Ave","16700",39.653478,-104.898602,48
"38","Hampden Ave & S University Blvd","22481",39.653274,-104.961298,60
"39","Hampden Ave & S Colorado Blvd","22480",39.65314,-104.941865,60
"40","W Alameda Ave & S Hoyt St","12015",39.710914,-105.103671,301
"41","W Alameda Ave & S Hoyt St","12016",39.711086,-105.104126,295
"42","Alameda Ave & S Holly St","12011",39.711153,-104.921906,118
"43","W Alameda Ave & S Hooker St","12013",39.711243,-105.029121,286
"44","Alameda Ave & S Holly St","12012",39.711387,-104.922643,120
"45","Westlake Dr & S Princess Cir","17258",39.931554,-105.032171,42
"46","Westlake Dr & S Princess Cir","17259",39.93145,-105.032697,42
"47","S Ceylon Way & Floyd Ave","26397",39.65558,-104.764761,242
"48","Hampden Ave & S Tower Rd","26396",39.65287,-104.771789,242
"49","Iliff Ave & S Argonne St","26391",39.677648,-104.769689,44
"50","Iliff Ave & S Argonne St","26390",39.677569,-104.770642,44
"51","Hampden Ave & S Buckley Rd","26393",39.652937,-104.79067,242
"52","Iliff Ave & Wesley Dr","26392",39.679307,-104.767854,44
"53","Westlake Dr & W 132nd Cir","17250",39.934823,-105.023978,42
"54","S Ceylon Way & Columbia Pl","26399",39.661309,-104.764651,242
"55","S Ceylon Way & Eldorado Pl","26398",39.658299,-104.764424,242
"56","Westlake Dr & King Cir","17256",39.932279,-105.028199,42
"57","Westlake Dr & Lowell Blvd","17257",39.93112,-105.033883,42
"58","28th Ave & Fillmore St","10709",39.756905,-104.953122,58
"59","28th Ave & Fillmore St","10708",39.757028,-104.953907,58
"60","W 27th Ave & Youngfield St","10702",39.755433,-105.141737,106
"61","S Tamarac Dr & Kenyon Ave","20808",39.649415,-104.897943,48
"62","28th Ave & Columbine St","10706",39.757033,-104.95762,58
"63","28th Ave & Columbine St","10705",39.756913,-104.956879,58
"64","S Peoria St & Yale Ave","15954",39.668094,-104.847098,310
"65","Evans Station","24882",39.678143,-104.992653,758
"66","S Santa Fe Dr & Highlands Ranch Pkwy","24881",39.5389,-105.036253,110
"67","Highlands Ranch Pkwy & S Santa Fe Dr","24880",39.538067,-105.035335,108
"68","Ken Caryl PnR Gate A","24886",39.580704,-105.137219,32
"69","W Oxford Ave & S Federal Blvd","24889",39.642183,-105.02477,118
"70","Oxford - City of Sheridan Station","24888",39.643408,-105.004413,239
"71","Wal-Mart @ Salida St & Tower Rd","26020",39.763702,-104.774848,680
"72","Mainstreet & Jordan Rd","26128",39.514841,-104.792191,36
"73","S Jordan Rd & Mainstreet","26129",39.515445,-104.793248,38
"74","Alameda Ave & S Monaco Pkwy","22875",39.711159,-104.913248,118
"75","Greenbriar Blvd & Greenbriar Ct","22876",39.971971,-105.241884,456
"76","Hwy 93 & W 68th Ave","22872",39.820327,-105.221534,20
"77","Hwy 93 & W 68th Ave","22873",39.819924,-105.221795,24
"78","17th Pl & Aurora Ct","26572",39.744538,-104.837592,512
"79","Ivy St & 50th Ave","14624",39.787251,-104.919842,24
"80","Jackson St & 19th St","14626",39.749706,-105.21452,230
"81","S Irving St & W Oxford Ave","14620",39.640764,-105.030021,112
"82","S Irving St & W Oxford Ave","14621",39.640767,-105.02992,120
"83","S Irving St & W Walsh Pl","14622",39.703398,-105.029872,140
"84","Ivy St & 50th Ave","14623",39.787187,-104.920004,26
"85","Jackson St & 22nd St","14629",39.747594,-105.212543,230
"86","W 3rd Ave & Mariposa St","24368",39.721003,-105.002798,8
"87","W 3rd Ave & Santa Fe Dr","24369",39.720889,-104.998895,8
"88","Colorado Blvd & 23rd Ave","13058",39.750804,-104.940523,533
"89","Colorado Blvd & 26th Ave","13059",39.754909,-104.940463,332
"90","Colorado Blvd & 17th Ave","13053",39.744314,-104.940581,533
"91","Colorado Blvd & 14th Ave","13050",39.737757,-104.94053,332
"92","Colorado Blvd & 13th Ave","13051",39.736956,-104.940809,326
"93","Colorado Blvd & 1st Ave","13056",39.717358,-104.940846,518
"94","Colorado Blvd & 23rd Ave","13057",39.750661,-104.940827,615
"95","Colorado Blvd & 17th Ave","13054",39.744102,-104.940865,525
"96","Colorado Blvd & 1st Ave","13055",39.718163,-104.94057,332
"97","Yale Ave & S Clermont Dr","33506",39.667939,-104.937392,54
"98","Wadsworth / Hampden","33851",39.650897,-105.082726,0
"99","Ward Road","33852",39.780657,-105.139203,0
"100","S Buckley Rd & S Pitkin Way","33505",39.694079,-104.790916,426
