"","stops.stop_name","stops.stop_id","stops.stop_lat","stops.stop_lon","freq"
"1","Union Station Gate B15",34313,39.754647,-105.001853,49
"2","Downtown Boulder Station Gate F",24591,40.01698,-105.27697,155
"3","9th Ave & Clermont St",18960,39.730958,-104.936055,105
"4","W 32nd Ave & Eliot St",10873,39.76197,-105.022594,40
"5","W 38th Ave & Miller St",11017,39.769333,-105.11505,106
"6","Alameda Ave & S Moline St",12044,39.711015,-104.854267,46
"7","Alameda Ave & S Olive Way",12058,39.711437,-104.906845,46
"8","Arapahoe Ave & 48th St",12220,40.014857,-105.235411,92
"9","Arapahoe Ave & MacArthur Dr",12239,40.014875,-105.237901,92
"10","W Bowles Ave & S Platte Canyon Rd",12418,39.609458,-105.036598,88
"11","Colfax Ave & Cook St",12866,39.740237,-104.948043,239
"12","W Colfax Ave & Kendall St",12914,39.74042,-105.066489,221
"13","Downing St & 8th Ave",13386,39.729301,-104.972894,111
"14","W Exposition Ave & S Vallejo St",13684,39.703992,-105.013768,63
"15","S Federal Blvd & W Belleview Ave",13790,39.623469,-105.025645,49
"16","S Havana St & Dartmouth Ave",14259,39.659843,-104.866493,163
"17","W Jewell Ave & S Oak St",14681,39.682196,-105.118349,73
"18","Stout St & W Colfax Ave",14724,39.740646,-104.999836,49
"19","Kipling St & W 38th Ave",14817,39.768445,-105.109776,39
"20","Maxwell Pl & Pensacola Dr",15279,39.792562,-104.821427,117
"21","Mississippi Ave & S Elizabeth St",15346,39.696613,-104.95613,81
"22","Mississippi Ave & S Kalispell St",15384,39.69676,-104.802407,106
"23","S Monaco Pkwy & Mississippi Ave",15557,39.697001,-104.912728,76
"24","Moorhead Ave & Ash Ave",15617,39.994903,-105.251047,11
"25","S Peoria St & Ford Ave",15934,39.69976,-104.847298,143
"26","Sheridan Blvd & W 80th Ave",16510,39.842258,-105.053092,96
"27","S Sheridan Blvd & W Yale Ave",16583,39.667034,-105.053399,96
"28","Smith Rd & Magnolia St",16612,39.772937,-104.91155,76
"29","Smith Rd & Monaco Pkwy",16613,39.77325,-104.913234,76
"30","S Wadsworth Blvd & W Louisiana Ave",17077,39.692312,-105.081691,142
"31","Washington St & 50th Ave",17173,39.788097,-104.978225,111
"32","York St & 43rd Ave",17408,39.776174,-104.959478,53
"33","W 92nd Ave & Camenish St",18324,39.863581,-105.019956,61
"34","Chambers Rd & 13th Ave",18791,39.737643,-104.809884,114
"35","S University Blvd & Mineral Ave",19039,39.574318,-104.960255,37
"36","Table Mesa Dr & Yale Rd",19315,39.981545,-105.255469,11
"37","Arapahoe Ave & Folsom St",19386,40.01453,-105.262526,92
"38","S Chambers Rd & Hampden Ave",19610,39.652721,-104.810102,115
"39","W Kentucky Ave & S Yates St",19834,39.700488,-105.051836,99
"40","W 112th Ave & Stuart St",21128,39.89958,-105.041909,35
"41","Arapahoe Rd & S Lima St",21505,39.595182,-104.857947,106
"42","Smith Rd & Poplar St",22078,39.772027,-104.90517,76
"43","88th Ave & Monroe St",22990,39.856103,-104.946299,41
"44","Highlands Ranch Pkwy & Westridge Pkwy",24945,39.533321,-105.021923,43
"45","S Buckley Rd & S Olathe Way",26361,39.611943,-104.791887,63
"46","Quentin St & 16th Ave",33075,39.741685,-104.844616,89
"47","104th Ave & Walden St",33804,39.885448,-104.775816,63
"48","128th Ave & Bellaire St",35281,39.928512,-104.937724,38
"49","16th & Stout Station",35266,39.746121,-104.99284,468
"50","US 85 & Bridge St PnR",29203,39.984322,-104.823124,157
"51","S Parker Rd & S Quebec St",15783,39.698197,-104.902885,195
"52","Boulder Junction at Depot Square Station Gate S1",33664,40.023916,-105.253536,92
"53","Clear Creek - Federal Station Track 1",34530,39.804019,-105.023739,160
"54","Decatur / Federal Station Gate H",10224,39.73805,-105.025753,270
"55","W 14th Ave & Galapago St",10228,39.738407,-104.996035,37
"56","23rd Ave & Dexter St",10575,39.751103,-104.933099,82
"57","W 38th Ave & Kendall St",11005,39.769423,-105.067135,106
"58","W 38th Ave & Lowell Blvd",11012,39.769456,-105.034356,102
"59","W 44th Ave & Saulsbury St",11181,39.776573,-105.075778,58
"60","6th Ave & Fulton St",11548,39.725646,-104.870947,85
"61","W 72nd Ave & Lowell Blvd",11674,39.827215,-105.034005,20
"62","Alameda Ave & S Ursula Way",12105,39.711054,-104.83624,46
"63","Arapahoe Ave & 23rd St",12207,40.014668,-105.264403,92
"64","6300 Block Broadway",12453,39.81064,-104.987388,40
"65","W Colfax Ave & Dudley St",12872,39.740334,-105.095153,221
"66","Colorado Blvd & Montview Blvd",13137,39.747672,-104.940558,247
"67","Downing St & 31st Ave",13379,39.761073,-104.97327,187
"68","S Downing St & Hampden Ave",13406,39.653418,-104.97348,111
"69","Federal Blvd & W 58th Ave",13738,39.802971,-105.025453,175
"70","Federal Blvd & W 97th Ave",13778,39.872342,-105.025356,57
"71","Huron St & W 102nd Pl",14409,39.881175,-104.996772,37
"72","Lookout Rd & N 71st St",15040,40.07284,-105.188435,80
"73","S Lowell Blvd & W Kenyon Ave",15095,39.649167,-105.034674,109
"74","Quebec St & Montview Blvd",16174,39.748034,-104.903374,91
"75","Sheridan Blvd & W 52nd Ave",16482,39.791605,-105.053364,96
"76","Sheridan Blvd & W 72nd Ave",16500,39.826648,-105.053627,96
"77","Sheridan Blvd & W 84th Ave",16518,39.849885,-105.053058,96
"78","6000 Block Washington St",17184,39.804701,-104.978155,111
"79","S Broadway  & Geddes Ave",17610,39.584285,-104.988231,104
"80","Main Ave & 4th St",17932,39.716672,-105.114095,2
"81","Smoky Hill Rd & S Buckley Rd",18303,39.626422,-104.791948,54
"82","Albrook Dr & Anaheim Ct",18813,39.777591,-104.834548,114
"83","US 287 & Lucerne Dr",19099,40.010189,-105.103065,18
"84","28th St & Valmont Rd",19332,40.028417,-105.258572,134
"85","Main St & W 117th Ave",19560,39.909601,-105.07192,45
"86","Iliff Ave & S Revere St",21072,39.675007,-104.842921,98
"87","3800 Block W 112th Ave",21130,39.899732,-105.035334,69
"88","Florida Ave & S Dayton St",21241,39.689198,-104.875619,114
"89","Federal Blvd & W 96th Ave",21724,39.871123,-105.02499,60
"90","Sheridan Blvd & W 8th Ave",22674,39.729268,-105.053124,96
"91","Baseline Rd & Elgin Dr",22836,40.000184,-105.143448,79
"92","Baseline Rd & Indian Peaks Dr",22858,40.000286,-105.124635,79
"93","S Chambers Rd & Belleview Ave",23677,39.624295,-104.810189,114
"94","800 Block S Jason St",24395,39.701686,-104.999261,66
"95","Highlands Ranch Pkwy & S Santa Fe Dr",24880,39.538067,-105.035335,43
"96","9100 Block Lowry Blvd",25292,39.725075,-104.881879,85
"97","28th St & Palo Pkwy",25667,40.044071,-105.2584,78
"98","Exposition Ave & S Sable Blvd",25802,39.703794,-104.821203,81
"99","49th Ave & Pontiac St",26320,39.78538,-104.905273,13
"100","Kansas Ave & S Sherman St",34184,40.147278,-105.118711,20
"101","S Parker Rd & Warren Ave",34430,39.677074,-104.873468,114
"102","S Colorado Blvd & Evans Ave",34724,39.678856,-104.940515,163
"103","Community Center Dr & 112th Ave",35278,39.90016,-104.994333,37
"104","30th & Downing Station",23205,39.759189,-104.973652,152
"105","Littleton / Downtown Station",25438,39.611761,-105.015065,288
"106","Union Station",33727,39.754338,-105.00214,0
"107","Union Station Gate B6",34325,39.754218,-105.001627,166
"108","Downtown Boulder Station Gate L",17985,40.016688,-105.274857,78
"109","16th Street Mall & Market St",34381,39.749838,-104.998162,554
"110","60th & Sheridan - Arvada Gold Strike Station Track 1",34526,39.80364,-105.049564,160
"111","Florida Station",34578,39.689534,-104.828474,408
"112","61st & Pena Station Track 1",34605,39.807307,-104.783939,290
"113","W 104th Ave & Croke Dr",10014,39.885039,-104.999657,79
"114","W 10th Ave & Hooker St",10050,39.732913,-105.028345,37
"115","13th Ave & Colorado Blvd",10205,39.73679,-104.941204,105
"116","W 58th Ave & Oak St",11438,39.801888,-105.119293,74
"117","72nd Ave & Monaco St",11673,39.827297,-104.914037,114
"118","8th Ave & Detroit St",11842,39.729174,-104.954743,85
"119","Alameda Ave & S Moline St",12045,39.71124,-104.855096,46
"120","S Alton Way & S Clinton St",12190,39.70162,-104.877556,46
"121","Colfax Ave & Pearl St",12953,39.73994,-104.979594,240
"122","W Dartmouth Ave & S Yates St",13330,39.656916,-105.04903,84
"123","Del Mar Cir W & 6th Ave",13355,39.724986,-104.85042,143
"124","S Downing St & Colorado Ave",13396,39.683736,-104.973482,111
"125","S Elati St & Englewood Pkwy",13514,39.655719,-104.993439,467
"126","Federal Blvd & W 1st Ave",13824,39.717654,-105.025271,209
"127","S Federal Blvd & W Jefferson Ave",13825,39.650587,-105.025372,49
"128","Garrison St & Cole Dr",14042,39.810515,-105.100152,26
"129","Huron St & W 96th Pl",14428,39.871594,-104.996766,37
"130","Kipling St & W 30th Ave",14807,39.758821,-105.109718,39
"131","Larimer St & 25th St",14942,39.75774,-104.986501,53
"132","Maxwell Pl & Elkhart St",15277,39.794518,-104.814343,123
"133","Mississippi Ave & S Havana St",15369,39.696432,-104.864628,81
"134","Mississippi Ave & S Madison St",15403,39.696614,-104.947087,81
"135","Mississippi Ave & S Peoria St",15423,39.696719,-104.847663,81
"136","Montview Blvd & Trenton St",15603,39.747366,-104.895973,84
"137","Teller St & W 27th Ave",16734,39.756403,-105.076793,40
"138","S University Blvd & Belleview Ave",16808,39.623507,-104.959995,40
"139","Valmont Rd & 34th St",16919,40.029283,-105.249075,22
"140","S Wadsworth Blvd & W Amherst Ave",17022,39.665676,-105.081575,95
"141","Washington St & 105th Pl",17157,39.88804,-104.977592,111
"142","Washington St & 47th Ave",17170,39.782014,-104.978737,111
"143","Washington St & 66th Ave",17189,39.81667,-104.97797,111
"144","Washington St & Garland Dr",17219,39.891193,-104.977796,111
"145","Yale Ave & S Norman Ct",17348,39.667569,-104.908775,55
"146","S Yosemite St & Oxford Dr",17448,39.640666,-104.884923,91
"147","Market St & 16th Street Mall",17756,39.749677,-104.99839,569
"148","18th St & Larimer St",17833,39.751307,-104.995178,580
"149","Smith Rd & Quentin St",17854,39.766827,-104.844164,15
"150","N Public Rd & E Geneseo St",17965,39.999599,-105.090408,142
"151","46th Ave & Dearborn St",18809,39.779145,-104.821176,114
"152","S University Blvd & Jamison Ave",19040,39.577421,-104.960263,37
"153","W 112th Ave & Newland St",19555,39.899956,-105.069647,37
"154","120th Ave & Colorado Blvd",19577,39.914042,-104.941303,36
"155","Bridge St & S 4th Ave",20030,39.986718,-104.817754,30
"156","S Depew St & W Jewell Ave",21058,39.681627,-105.057199,110
"157","Grant St & Eppinger Blvd",22259,39.863928,-104.984123,111
"158","16th Street Mall & Lawrence St",22372,39.748444,-104.996392,554
"159","W Kenyon Ave & S Lowell Blvd",23007,39.649543,-105.036384,61
"160","Airport Blvd & 10th Ave",23889,39.733125,-104.791058,60
"161","W Bowles Ave & W Coal Mine Ave",24579,39.609454,-105.147082,30
"162","Syracuse St & Montview Blvd",26078,39.748306,-104.898616,82
"163","Yale Ave & Brown Dr",26382,39.667467,-104.794417,106
"164","Fremont Ave & S Dillon Ct",33015,39.585625,-104.821211,103
"165","US 287 & Arapahoe Rd",33109,40.017138,-105.103104,18
"166","19th St & Kalmia Ave",33174,40.041334,-105.27284,42
"167","Front Range Ave & Broadway",33233,40.062838,-105.282576,226
"168","Huron St & W 88th Ave",33474,39.857148,-104.996756,37
"169","S Buckley Rd & Harvard Ave",33476,39.670574,-104.791189,167
"170","Via Varra Rd & Midway Blvd",34783,39.940652,-105.125048,70
"171","51st Ave & Deephaven Ct",34873,39.786826,-104.820596,123
"172","Bergen Park PnR",18898,39.691522,-105.363129,2
"173","104th Ave & Revere St",33104,39.885025,-104.843093,63
"174","30th / Downing Station",33703,39.758977,-104.973786,0
"175","I-25 & Broadway Station Gate C1",26280,39.701951,-104.989791,210
"176","Empower Field at Mile High Station",25428,39.743543,-105.013526,816
"177","Alameda Ave & S Colorado Blvd Nearside",33149,39.711717,-104.940349,171
"178","Clear Creek / Federal Station",34507,39.804819,-105.022624,0
"179","Eastlake /124th Ave",35367,39.922525,-104.962657,0
"180","Eastlake - 124th Station Track 2",35257,39.923443,-104.962282,140
"181","W 44th Ave & Tennyson St",11188,39.77662,-105.044261,59
"182","W Alameda Ave & S Depew St",11980,39.71127,-105.058347,105
"183","Alameda Ave & S Nome St",12053,39.711041,-104.850293,46
"184","S Chambers Rd & Iliff Ave",12710,39.675255,-104.809773,114
"185","Colfax Ave & Glencoe St",12882,39.740237,-104.926114,239
"186","Colorado Blvd & 36th Ave",13065,39.767293,-104.94042,163
"187","Colorado Blvd & 71st Ave",13078,39.82469,-104.94046,82
"188","Conifer Rd & Dakin St",13160,39.837662,-104.990546,37
"189","S Federal Blvd & W Stanford Dr",13848,39.633698,-105.02524,50
"190","Harlan St & W 44th Ave",14202,39.777043,-105.062432,96
"191","Holly St & 38th Ave",14326,39.769133,-104.922235,76
"192","W Littleton Blvd & S Fox St",15009,39.61313,-104.995097,54
"193","Mansfield Ave & Nassau Dr",15196,39.643243,-104.777555,39
"194","Maxwell Pl & Wheeling St",15283,39.794743,-104.832471,117
