OBJECTID,StopCountAug19,StopCountSep20,TARGET_FID_12,GEOID_D,Ar_SqKm,TotalPp,TtlMale,TtlFeml,PropMal,PropFml,Ag17ndr,Ag18_54,Ag55_64,Age65Up,PrpA17U,PrpA65U,TtlPOC,PropPOC,TtlHH,TtlHHNC,PrpHHNC,TtlP_5U,Md_HHnc,Ttl_Und,Ttl_DNW,Prp_UnE,Prp_DNW,Ttl_OcU,Ttl_RnU,Prp_Rnt,Avg_HH_,FreqSep20,FreqAug19,FreqPandemic,StopCountPandemic,Shape_Length,Shape_Area,FreqSep20Daily,FreqAug19Daily,FreqPandemicDaily
1,15,13,1,14000US08014030200,2.609320402,1967,982,985,0.499237417,0.500762583,363,1256,227,121,0.184544992,0.061514997,128,0.065073716,874,5,0.005720824,1861,77159,394,237,0.240097502,0.144424132,874,394,0.450800915,2.25,646,1251,1193,15,9752.117761,2609320.309,646,1251,1193
2,0,0,2,14000US08035014504,6.564636707,4707,2140,2567,0.454642023,0.545357977,1172,2383,507,645,0.248990865,0.137029955,212,0.045039303,1806,83,0.045957918,4356,68093,961,837,0.264884234,0.230705623,1806,743,0.411406423,2.58,,,,0,12773.91693,6564636.499,,,
3,13,13,3,14000US08013013503,1.948837996,5389,2619,2770,0.48598998,0.51401002,1340,3005,482,562,0.248654667,0.10428651,863,0.160141028,1956,187,0.095603272,5041,49213,1050,1034,0.251919386,0.248080614,1956,1014,0.518404908,2.76,372,1082,900,13,5648.29758,1948838.026,372,1082,900
4,14,0,4,14000US08014030600,2.590423584,6232,3074,3158,0.493260591,0.506739409,1622,3442,652,516,0.260269576,0.08279846,537,0.086168164,2242,0,0,5860,83429,1451,750,0.301977107,0.156087409,2242,432,0.192685103,2.78,,588,294,14,6442.301788,2590423.686,,588,294
5,18,18,5,14000US08005006501,1.734457612,2317,1406,911,0.606819163,0.393180837,235,1772,101,209,0.101424256,0.090202849,360,0.155373328,1245,157,0.126104418,2264,47743,634,390,0.303059273,0.186424474,1245,1164,0.934939759,1.84,2217,5762,5111,18,7587.446825,1734457.574,2217,5762,5111
6,1,1,6,14000US08005006857,1.997598648,2303,1107,1196,0.480677377,0.519322623,529,904,395,475,0.229700391,0.206252714,378,0.164133739,915,25,0.027322404,2236,146875,499,678,0.265143464,0.360255048,915,110,0.120218579,2.52,106,126,177,1,6600.918431,1997598.656,106,126,177
7,0,0,7,14000US08123001906,44.71460342,1644,945,699,0.574817518,0.425182482,422,693,300,229,0.256690998,0.139294404,178,0.108272506,575,0,0,1577,67578,337,414,0.262256809,0.322178988,575,149,0.259130435,2.86,,,,0,33493.30175,44714604.76,,,
8,0,0,8,14000US08123002010,41.03325272,2435,1241,1194,0.509650924,0.490349076,730,1231,277,197,0.299794661,0.080903491,251,0.103080082,857,11,0.012835473,2228,60329,506,358,0.288483466,0.204104903,857,193,0.225204201,2.84,,,,0,32592.1898,41033253.79,,,
9,14,18,9,14000US08001008529,6.560832977,7235,3567,3668,0.493020041,0.506979959,1501,3952,742,1040,0.207463718,0.143745681,1084,0.149827229,3254,172,0.052858021,6669,65375,1216,1415,0.208827065,0.243001889,3254,1961,0.602642901,2.22,1027,1394,1367,14,11687.18563,6560832.896,1027,1394,1367
10,5,5,10,14000US08005007107,14.07878494,10088,4993,5095,0.494944489,0.505055511,3433,5431,633,591,0.340305313,0.058584457,2235,0.221550357,3011,42,0.013948854,9258,125203,1646,1260,0.238343469,0.182450043,3011,533,0.177017602,3.35,322,812,728,5,22020.98098,14078785.08,322,812,728
