TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
1,14000US08014030200,8014030200,0.065073716,77159,0.240097502,1967,0.499237417,0.500762583,0.144424132,0.450800915,2.25,5,5,5,0,0
2,14000US08035014504,8035014504,0.045039303,68093,0.264884234,4707,0.454642023,0.545357977,0.230705623,0.411406423,2.58,0,0,0,0,0
3,14000US08013013503,8013013503,0.160141028,49213,0.251919386,5389,0.48598998,0.51401002,0.248080614,0.518404908,2.76,3,5,4,-25,25
4,14000US08014030600,8014030600,0.086168164,83429,0.301977107,6232,0.493260591,0.506739409,0.156087409,0.192685103,2.78,0,2,1,-100,100
5,14000US08005006501,8005006501,0.155373328,47743,0.303059273,2317,0.606819163,0.393180837,0.186424474,0.934939759,1.84,19,24,20,-5,20
6,14000US08005006857,8005006857,0.164133739,146875,0.265143464,2303,0.480677377,0.519322623,0.360255048,0.120218579,2.52,1,1,1,0,0
7,14000US08123001906,8123001906,0.108272506,67578,0.262256809,1644,0.574817518,0.425182482,0.322178988,0.259130435,2.86,0,0,0,0,0
8,14000US08123002010,8123002010,0.103080082,60329,0.288483466,2435,0.509650924,0.490349076,0.204104903,0.225204201,2.84,0,0,0,0,0
9,14000US08001008529,8001008529,0.149827229,65375,0.208827065,7235,0.493020041,0.506979959,0.243001889,0.602642901,2.22,9,6,5,80,20
10,14000US08005007107,8005007107,0.221550357,125203,0.238343469,10088,0.494944489,0.505055511,0.182450043,0.177017602,3.35,3,3,3,0,0
11,14000US08005007103,8005007103,0.134382567,108365,0.196092619,1652,0.517554479,0.482445521,0.277858177,0.066666667,2.82,0,0,0,0,0
12,14000US08005080500,8005080500,0.242688414,63625,0.228336496,3556,0.413104612,0.586895388,0.345667299,0.362181387,2.11,9,11,10,-10,10
13,14000US08005083900,8005083900,0.27048892,59020,0.189504373,2843,0.465001759,0.534998241,0.26364015,0.392307692,1.99,5,6,5,0,20
14,14000US08035013907,8035013907,0.090333092,102930,0.26217765,5524,0.482983345,0.517016655,0.19078319,0.207335711,2.81,0,0,0,0,0
15,14000US08035014202,8035014202,0.113685345,92404,0.296824368,1856,0.536099138,0.463900862,0.302009073,0.124822695,2.62,0,0,0,0,0
16,14000US08014030800,8014030800,0.14199239,85742,0.246765467,5782,0.494465583,0.505534417,0.218772054,0.113741637,2.98,1,2,1,0,100
17,14000US08014031400,8014031400,0.147559809,117679,0.181499123,5225,0.466794258,0.533205742,0.472549511,0.047692308,2.68,0,0,0,0,0
18,14000US08014031300,8014031300,0.094948047,159677,0.223541048,2791,0.487280545,0.512719455,0.21810089,0.116396761,2.82,0,0,0,0,0
19,14000US08014031100,8014031100,0.157751092,66863,0.27696793,5496,0.514737991,0.485262009,0.121477162,0.962056304,1.64,14,28,16,-12.5,75
20,14000US08031005002,8031005002,0.444078546,41946,0.271794062,8199,0.528113185,0.471886815,0.286639292,0.659568345,2.35,24,27,24,0,12.5
21,14000US08035014138,8035014138,0.176270136,85043,0.261424017,3228,0.502478315,0.497521685,0.166843783,0.750151607,1.96,1,1,1,0,0
22,14000US08035014134,8035014134,0.161952915,140188,0.246110631,6329,0.493758888,0.506241112,0.206784788,0.145924841,3.09,0,1,0,0,0
23,14000US08035014132,8035014132,0.103980253,164219,0.223857645,6482,0.443690219,0.556309781,0.224077329,0.056557777,3.16,1,2,1,0,100
24,14000US08035014140,8035014140,0.112357414,161618,0.274519591,5260,0.492395437,0.507604563,0.205390567,0.016930023,2.97,0,1,0,0,0
25,14000US08035013910,8035013910,0.095420369,138771,0.210516142,7315,0.493096377,0.506903623,0.245505509,0.060645724,3.19,0,0,0,0,0
26,14000US08123002013,8123002013,0.071905822,106143,0.214318921,3143,0.500795418,0.499204582,0.207810321,0.055220884,3.16,0,0,0,0,0
27,14000US08001061200,8001061200,0.111443211,132250,0.179988159,2342,0.523057216,0.476942784,0.166370634,0.083946981,3.45,0,0,0,0,0
28,14000US08001008543,8001008543,0.09933486,78482,0.212043465,9171,0.512921165,0.487078835,0.326592212,0.252922423,3.18,2,2,1,100,100
29,14000US08001008542,8001008542,0.159995589,97245,0.216446858,9069,0.531260337,0.468739663,0.181536074,0.19195275,3.35,4,3,2,100,50
30,14000US08031015400,8031015400,0.101921132,70208,0.296332518,4945,0.454398382,0.545601618,0.29608802,0.309495897,2.44,21,23,21,0,9.52
31,14000US08031004405,8031004405,0.2269153,84866,0.28817085,8902,0.432037744,0.567962256,0.230203855,0.449798184,2.24,16,19,16,0,18.75
32,14000US08005004952,8005004952,0.311356576,50909,0.222345133,2897,0.577148775,0.422851225,0.166666667,0.976306197,1.76,17,21,18,-5.56,16.67
33,14000US08013060600,8013060600,0.267922035,111696,0.282512116,6054,0.510241163,0.489758837,0.180129241,0.671635434,2.58,6,7,6,0,16.67
34,14000US08013012608,8013012608,0.150118203,80852,0.398036591,2538,0.523246651,0.476753349,0.171798304,0.523152709,2.4,3,5,3,0,66.67
35,14000US08013013213,8013013213,0.152612137,91341,0.318194884,9475,0.496886544,0.503113456,0.248347226,0.444212411,2.83,3,5,4,-25,25
36,14000US08013012607,8013012607,0.186601129,24793,0.584246703,5493,0.52284726,0.47715274,0.195430058,0.908472269,1.86,7,12,9,-22.22,33.33
