TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,Percent Change Sep20,Percent Change Aug19,Percent Change Pan
160,14000US08005006855,8005006855,0.269645609,125234,0.270951036,0.218455744,0.19006589,2.95,4,2,3,33.33,-33.33,50.00
176,14000US08005006815,8005006815,0.286682194,66250,0.28761799,0.222098834,0.558855886,2.59,3,2,3,0,-33.33,50.00
244,14000US08005006856,8005006856,0.309922822,77075,0.323764179,0.182327405,0.637961336,2.27,24,15,19,26.32,-21.05,26.67
134,14000US08005006858,8005006858,0.245716589,74571,0.200810875,0.269258288,0.816779533,1.83,9,6,7,28.57,-14.29,16.67
491,14000US08059012050,8059012050,0.16058029,85030,0.225971678,0.264838807,0.433769187,2.27,8,7,8,0,-12.5,14.29
80,14000US08001009608,8001009608,0.204502814,75556,0.259337562,0.247709655,0.118656716,2.38,8,9,10,-20,-10,11.11
657,14000US08031006811,8031006811,0.275452842,65549,0.273645546,0.243709826,0.6048,2.04,16,13,14,14.29,-7.14,7.69
290,14000US08031008390,8031008390,0.488159918,63640,0.273094106,0.239804006,0.294785385,3.46,21,21,22,-4.55,-4.55,4.76
1,14000US08014030200,8014030200,0.065073716,77159,0.240097502,0.144424132,0.450800915,2.25,5,5,5,0,0,0.00
2,14000US08035014504,8035014504,0.045039303,68093,0.264884234,0.230705623,0.411406423,2.58,0,0,0,0,0,0.00
6,14000US08005006857,8005006857,0.164133739,146875,0.265143464,0.360255048,0.120218579,2.52,1,1,1,0,0,0.00
7,14000US08123001906,8123001906,0.108272506,67578,0.262256809,0.322178988,0.259130435,2.86,0,0,0,0,0,0.00
8,14000US08123002010,8123002010,0.103080082,60329,0.288483466,0.204104903,0.225204201,2.84,0,0,0,0,0,0.00
10,14000US08005007107,8005007107,0.221550357,125203,0.238343469,0.182450043,0.177017602,3.35,3,3,3,0,0,0.00
11,14000US08005007103,8005007103,0.134382567,108365,0.196092619,0.277858177,0.066666667,2.82,0,0,0,0,0,0.00
14,14000US08035013907,8035013907,0.090333092,102930,0.26217765,0.19078319,0.207335711,2.81,0,0,0,0,0,0.00
15,14000US08035014202,8035014202,0.113685345,92404,0.296824368,0.302009073,0.124822695,2.62,0,0,0,0,0,0.00
17,14000US08014031400,8014031400,0.147559809,117679,0.181499123,0.472549511,0.047692308,2.68,0,0,0,0,0,0.00
18,14000US08014031300,8014031300,0.094948047,159677,0.223541048,0.21810089,0.116396761,2.82,0,0,0,0,0,0.00
21,14000US08035014138,8035014138,0.176270136,85043,0.261424017,0.166843783,0.750151607,1.96,1,1,1,0,0,0.00
22,14000US08035014134,8035014134,0.161952915,140188,0.246110631,0.206784788,0.145924841,3.09,0,1,0,0,0,-100.00
24,14000US08035014140,8035014140,0.112357414,161618,0.274519591,0.205390567,0.016930023,2.97,0,1,0,0,0,-100.00
25,14000US08035013910,8035013910,0.095420369,138771,0.210516142,0.245505509,0.060645724,3.19,0,0,0,0,0,0.00
26,14000US08123002013,8123002013,0.071905822,106143,0.214318921,0.207810321,0.055220884,3.16,0,0,0,0,0,0.00
27,14000US08001061200,8001061200,0.111443211,132250,0.179988159,0.166370634,0.083946981,3.45,0,0,0,0,0,0.00
45,14000US08013012708,8013012708,0.011111111,106186,0.305497564,0.283228949,0.201255043,2.26,7,6,6,16.67,0,0.00
46,14000US08013012709,8013012709,0.058367769,111042,0.336102236,0.285623003,0.033381713,2.81,9,8,8,12.5,0,0.00
59,14000US08013013207,8013013207,0.063989409,86635,0.335898116,0.252586893,0.348989623,2.47,1,1,1,0,0,0.00
69,14000US08005080800,8005080800,0.532646979,55219,0.236572366,0.253382534,0.565449688,3.28,5,5,5,0,0,0.00
73,14000US08005006711,8005006711,0.121856867,123162,0.295783318,0.262850108,0.06512605,2.89,2,2,2,0,0,0.00
82,14000US08014030500,8014030500,0.171672355,137603,0.226850804,0.24767942,0.093720712,2.75,0,1,0,0,0,-100.00
83,14000US08014031000,8014031000,0.230560732,109291,0.244042163,0.218148488,0.113475177,2.62,0,0,0,0,0,0.00
87,14000US08005005630,8005005630,0.09785322,94229,0.288234073,0.223490351,0.131213614,2.67,2,2,2,0,0,0.00
88,14000US08005005552,8005005552,0.11630396,32008,0.20794702,0.414128035,0.361089494,2.18,7,7,7,0,0,0.00
96,14000US08005005621,8005005621,0.050929112,121250,0.296403473,0.288962381,0.093023256,2.41,1,1,1,0,0,0.00
101,14000US08005005629,8005005629,0.045311269,151667,0.262926829,0.355121951,0.06937799,3.04,0,0,0,0,0,0.00
106,14000US08013013202,8013013202,0.035932203,118839,0.301176471,0.373333333,0.062271062,2.7,0,0,0,0,0,0.00
112,14000US08005005635,8005005635,0.095585257,92604,0.233710026,0.392642462,0.171026157,2.37,3,3,3,0,0,0.00
113,14000US08005006713,8005006713,0.38305709,72340,0.174188999,0.14809591,1,1.87,0,1,0,0,0,-100.00
115,14000US08005005636,8005005636,0.056603774,202188,0.296272073,0.387835186,0,2.76,0,1,0,0,0,-100.00
126,14000US08005005800,8005005800,0.085662432,81708,0.259751393,0.258894128,0.199183673,2.25,5,5,5,0,0,0.00
128,14000US08005005952,8005005952,0.109994417,58869,0.254822335,0.299492386,0.631391201,2.11,1,2,2,-50,0,0.00
130,14000US08005084900,8005084900,0.196519652,145938,0.235578712,0.211760328,0.041587902,3.15,4,5,5,-20,0,0.00
131,14000US08014030900,8014030900,0.137889482,108385,0.225097025,0.277705908,0.130849614,2.64,0,1,0,0,0,-100.00
132,14000US08123002009,8123002009,0.026086957,97188,0.211034483,0.310344828,0.070121951,2.62,0,0,0,0,0,0.00
135,14000US08031005104,8031005104,0.340076545,44926,0.247727273,0.307467532,0.821534801,2.01,7,7,7,0,0,0.00
146,14000US08005006100,8005006100,0.15138191,50802,0.263195691,0.245960503,0.57571965,1.95,3,4,4,-25,0,0.00
147,14000US08031002801,8031002801,0.095133553,66096,0.207307387,0.160444797,0.606280193,1.65,5,5,5,0,0,0.00
152,14000US08005006200,8005006200,0.117194436,66034,0.210093057,0.274874732,0.376126126,2.54,5,5,5,0,0,0.00
153,14000US08005006300,8005006300,0.042823156,69280,0.239072257,0.217662801,0.127081507,2.21,3,4,4,-25,0,0.00
154,14000US08005006400,8005006400,0.188813258,61042,0.303690685,0.225659051,0.431279621,2.57,2,2,2,0,0,0.00
159,14000US08005086400,8005086400,0.111961722,168281,0.244145199,0.285714286,0.053867403,2.89,0,1,0,0,0,-100.00
168,14000US08005006706,8005006706,0.128489408,97435,0.228981723,0.260313316,0.240275726,2.49,2,2,2,0,0,0.00
170,14000US08005006708,8005006708,0.091438556,112467,0.229862475,0.242632613,0.171788413,2.59,0,0,0,0,0,0.00
172,14000US08059009849,8059009849,0.090364629,64855,0.336407462,0.268077971,0.309657861,2.34,0,0,0,0,0,0.00
175,14000US08005006808,8005006808,0.099610368,167721,0.283100846,0.261376629,0.05720339,3.11,0,0,0,0,0,0.00
197,14000US08123002004,8123002004,0.043863636,53932,0.224575007,0.269012824,0.364772017,2.75,0,0,0,0,0,0.00
198,14000US08123002005,8123002005,0.066231343,114188,0.162127108,0.207522698,0.119533528,3.13,0,0,0,0,0,0.00
199,14000US08123002019,8123002019,0.117379436,96419,0.222138931,0.234382809,0.087139108,2.88,0,0,0,0,0,0.00
200,14000US08123002018,8123002018,0.105908584,120789,0.267680608,0.169581749,0.090225564,3.37,0,0,0,0,0,0.00
201,14000US08123002006,8123002006,0.072033898,132734,0.209756098,0.395121951,0.105263158,2.48,0,0,0,0,0,0.00
204,14000US08005084500,8005084500,0.348868176,62292,0.247013652,0.230375427,0.679862306,2.57,3,4,4,-25,0,0.00
206,14000US08059009850,8059009850,0.072954454,129231,0.306504445,0.237248479,0.079766537,2.4,0,0,0,0,0,0.00
208,14000US08059012059,8059012059,0.048996458,93884,0.219389726,0.272692159,0.285592498,2.87,0,1,0,0,0,-100.00
209,14000US08035013911,8035013911,0.051570681,141653,0.259702042,0.256207467,0.05298608,3.43,0,0,0,0,0,0.00
210,14000US08035014009,8035014009,0.140841584,105474,0.327940681,0.189079879,0.060192616,3.24,0,1,0,0,0,-100.00
211,14000US08035014012,8035014012,0.112197448,112708,0.208825978,0.232805995,0.206243032,3.09,0,0,0,0,0,0.00
212,14000US08035014013,8035014013,0.056745328,144756,0.2654444,0.245516142,0.073138877,3.19,0,0,0,0,0,0.00
214,14000US08035014137,8035014137,0.16948811,160599,0.261513401,0.219754183,0.101112235,3.34,0,1,0,0,0,-100.00
216,14000US08035014135,8035014135,0.076213592,179000,0.299062174,0.259117749,0.030660377,3.24,0,1,0,0,0,-100.00
217,14000US08035014204,8035014204,0.083134684,117083,0.195406773,0.179836512,0.041315346,2.83,0,0,0,0,0,0.00
218,14000US08035014406,8035014406,0.115692016,114265,0.2742876,0.220376279,0.149883991,2.93,0,0,0,0,0,0.00
219,14000US08035014203,8035014203,0.06379073,135463,0.205360662,0.260938116,0.022270742,2.85,0,0,0,0,0,0.00
221,14000US08035014128,8035014128,0.10941578,108255,0.259964001,0.177423502,0.165226782,2.69,1,1,1,0,0,0.00
222,14000US08035014404,8035014404,0.07057921,126767,0.22270177,0.356063876,0.04178273,2.42,0,0,0,0,0,0.00
223,14000US08035014403,8035014403,0.050697757,122969,0.271804836,0.300949914,0.184657786,2.6,0,0,0,0,0,0.00
224,14000US08035014603,8035014603,0.061894737,96379,0.257572718,0.146038114,0.134484325,3.24,0,0,0,0,0,0.00
225,14000US08035014505,8035014505,0.069643513,95819,0.255426442,0.263538698,0.285847735,2.49,0,0,0,0,0,0.00
226,14000US08035014405,8035014405,0.092676604,131944,0.234565653,0.20269532,0.088235294,3.2,0,0,0,0,0,0.00
233,14000US08005084300,8005084300,0.282713596,77368,0.300925926,0.18482906,0.216949153,2.98,3,3,3,0,0,0.00
234,14000US08005084400,8005084400,0.354700855,82686,0.146253926,0.185733513,0.183183183,2.81,1,1,1,0,0,0.00
238,14000US08019014800,8019014800,0.109778044,57266,0.291428571,0.312142857,0.378410439,1.98,0,0,0,0,0,0.00
239,14000US08019014700,8019014700,0.043019163,82978,0.26560036,0.29353458,0.139975298,2.09,0,0,0,0,0,0.00
240,14000US08019014900,8019014900,0.036951501,58357,0.243383948,0.279392625,0.316520468,1.83,0,0,0,0,0,0.00
241,14000US08005084800,8005084800,0.183094472,91667,0.265496639,0.229275579,0.147651007,2.87,0,0,0,0,0,0.00
243,14000US08123002103,8123002103,0.054205607,99122,0.211565585,0.277856135,0.057471264,2.92,0,0,0,0,0,0.00
245,14000US08005086300,8005086300,0.327350427,86293,0.230417227,0.183310902,0.552854123,2.46,1,1,1,0,0,0.00
248,14000US08005086600,8005086600,0.131796284,85487,0.193630324,0.432981633,0.260728745,2.35,0,1,0,0,0,-100.00
251,14000US08005086000,8005086000,0.271856287,99764,0.207430856,0.149950017,0.243962341,3.42,1,1,1,0,0,0.00
253,14000US08005087000,8005087000,0.47458263,53073,0.249464923,0.131034483,0.798954373,2.53,7,7,7,0,0,0.00
255,14000US08005085600,8005085600,0.213274336,133333,0.25980198,0.230891089,0.027,3.39,2,2,2,0,0,0.00
259,14000US08005086700,8005086700,0.212554629,156972,0.240757172,0.174800355,0.010351967,3.47,0,0,0,0,0,0.00
260,14000US08005085900,8005085900,0.340997589,110366,0.221539284,0.239711384,0.071172249,3.23,3,3,3,0,0,0.00
261,14000US08005083200,8005083200,0.26845924,117442,0.195496729,0.190171915,0.104211278,3.34,0,0,0,0,0,0.00
262,14000US08005083000,8005083000,0.452102182,102563,0.23906409,0.24754154,0.058679707,3.06,0,0,0,0,0,0.00
275,14000US08059012060,8059012060,0.064652568,80063,0.239212718,0.210825132,0.155667145,2.37,0,0,0,0,0,0.00
280,14000US08031004504,8031004504,0.206370876,43750,0.181726908,0.328313253,0.554266777,3.64,7,8,8,-12.5,0,0.00
285,14000US08031004503,8031004503,0.07032915,38641,0.130341113,0.365170557,0.657421289,3.17,10,10,10,0,0,0.00
294,14000US08035014503,8035014503,0.05530535,89250,0.293228139,0.230769231,0.285057471,2.54,0,0,0,0,0,0.00
295,14000US08035014300,8035014300,0.04853129,60000,0.247566064,0.383866481,0.09947644,2.05,0,0,0,0,0,0.00
296,14000US08035014001,8035014001,0.09954998,82652,0.239915074,0.130927105,0.215139442,2.43,0,0,0,0,0,0.00
297,14000US08035013908,8035013908,0.042180026,130162,0.240160223,0.246081505,0.074480596,2.7,0,0,0,0,0,0.00
299,14000US08035014122,8035014122,0.079451672,165871,0.232825845,0.295766803,0.142107388,2.89,0,0,0,0,0,0.00
300,14000US08035013909,8035013909,0.029362696,99974,0.288182594,0.28306314,0.059550066,2.64,0,0,0,0,0,0.00
301,14000US08035014115,8035014115,0.125196673,119904,0.236639118,0.305785124,0.226881103,2.56,0,1,0,0,0,-100.00
303,14000US08035014123,8035014123,0.130720909,90568,0.275925247,0.274825944,0.485952923,2.24,0,0,0,0,0,0.00
304,14000US08035013905,8035013905,0.059424768,95577,0.301768055,0.23164519,0.46746988,2.53,0,1,1,-100,0,0.00
319,14000US08039961206,8039961206,0.038420774,100677,0.222544283,0.245410628,0.050037341,2.82,0,0,0,0,0,0.00
320,14000US08047013800,8047013800,0.06043214,75120,0.204935834,0.233761106,0.190727478,2.19,0,0,0,0,0,0.00
321,14000US08001008535,8001008535,0.114495513,83088,0.218230977,0.163383546,0.237762238,3.21,5,4,4,25,0,0.00
322,14000US08001008540,8001008540,0.146535639,109549,0.220700416,0.175970874,0.039516129,3.24,0,0,0,0,0,0.00
323,14000US08001008541,8001008541,0.061259707,128295,0.164324101,0.348284415,0.046523017,2.84,0,0,0,0,0,0.00
324,14000US08001008551,8001008551,0.183344093,134167,0.243613139,0.227189781,0.057692308,3.72,1,0,0,0,0,0.00
325,14000US08001060000,8001060000,0.084062728,116754,0.226348808,0.179171895,0.284210526,2.89,0,0,0,0,0,0.00
328,14000US08001009326,8001009326,0.159500184,77969,0.234578627,0.315812337,0.246527778,2.36,1,2,2,-50,0,0.00
329,14000US08123001902,8123001902,0.095459837,70865,0.28042328,0.27479092,0.147149461,2.98,0,0,0,0,0,0.00
331,14000US08014030700,8014030700,0.082344968,93203,0.230182281,0.262399322,0.310233683,2.38,0,0,0,0,0,0.00
332,14000US08014030400,8014030400,0.056756053,135563,0.260402685,0.262751678,0.087435709,2.82,0,0,0,0,0,0.00
337,14000US08014030100,8014030100,0.137254902,64318,0.202883075,0.285638014,0.404139434,2.56,0,1,1,-100,0,0.00
338,14000US08014030000,8014030000,0.122204473,65959,0.285160381,0.232992598,0.477133106,2.56,0,1,1,-100,0,0.00
351,14000US08013013208,8013013208,0.07411668,72383,0.254796163,0.386091127,0.338521401,2.34,1,1,1,0,0,0.00
355,14000US08013013701,8013013701,0.101523657,105313,0.295685984,0.344565821,0.178895613,2.28,6,6,6,0,0,0.00
363,14000US08013013601,8013013601,0.078780178,96821,0.242204724,0.327559055,0.214511041,2.48,0,1,0,0,0,-100.00
365,14000US08013060700,8013060700,0.089664167,105896,0.274595022,0.282892137,0.241835148,2.38,0,0,0,0,0,0.00
366,14000US08013013602,8013013602,0.02182285,87955,0.285714286,0.344877345,0.166666667,1.97,0,0,0,0,0,0.00
373,14000US08123002008,8123002008,0.097476225,120156,0.225146946,0.240224891,0.163627153,2.75,0,0,0,0,0,0.00
374,14000US08123002016,8123002016,0.123380629,67422,0.18595679,0.283950617,0.21334504,2.85,0,0,0,0,0,0.00
375,14000US08123002020,8123002020,0.093788492,110607,0.229946524,0.18105424,0.077473182,3.39,0,0,0,0,0,0.00
376,14000US08123002021,8123002021,0.097101449,90000,0.197802198,0.399267399,0.093023256,2.67,0,0,0,0,0,0.00
377,14000US08123001905,8123001905,0.116384647,63504,0.250215208,0.269727403,0.258042437,3.32,0,0,0,0,0,0.00
378,14000US08123002011,8123002011,0.101449275,113661,0.172991071,0.237723214,0.042959427,3.29,0,0,0,0,0,0.00
379,14000US08123002015,8123002015,0.12900641,96250,0.200442968,0.160575858,0.107317073,3.04,0,0,0,0,0,0.00
380,14000US08123002017,8123002017,0,145938,0.202839757,0.269776876,0.036866359,2.88,0,0,0,0,0,0.00
381,14000US08123001908,8123001908,0.147284123,59643,0.197113216,0.314388814,0.335892514,2.75,0,0,0,0,0,0.00
382,14000US08123002012,8123002012,0.180480248,120083,0.235839341,0.192584964,0.014634146,3.15,0,0,0,0,0,0.00
384,14000US08001008534,8001008534,0.089363385,95572,0.295647413,0.167259786,0.085735403,3.74,1,2,2,-50,0,0.00
385,14000US08001008603,8001008603,0.090045023,37688,0.202720207,0.375,0.632467532,2.6,0,0,0,0,0,0.00
386,14000US08001008604,8001008604,0.147435897,66719,0.285306391,0.33077092,0.302447552,3.35,1,1,1,0,0,0.00
387,14000US08001008605,8001008605,0.052694325,66474,0.193768546,0.341543027,0.442520776,2.9,1,1,1,0,0,0.00
388,14000US08001008606,8001008606,0.193988224,53246,0.237637638,0.323123123,0.588785047,2.62,6,3,3,100,0,0.00
392,14000US08001008537,8001008537,0.13957907,90398,0.203154181,0.260012451,0.116959064,3.64,2,1,1,100,0,0.00
397,14000US08001008401,8001008401,0.114012739,70871,0.223573939,0.307380373,0.223436551,2.86,0,0,0,0,0,0.00
