TARGET_FID_12,GEOID_D,FIPS,POC Population (Prop),Median Household Income,Ttl_Und,Unemployed Population (Prop),Stop Frequency (SEP 20),FreqAug19,FreqPandemic
1,14000US08014030200,8014030200,0.065073716,77159,394,0.240097502,646,1251,1193
2,14000US08035014504,8035014504,0.045039303,68093,961,0.264884234,0,0,0
3,14000US08013013503,8013013503,0.160141028,49213,1050,0.251919386,372,1082,900
4,14000US08014030600,8014030600,0.086168164,83429,1451,0.301977107,0,588,294
5,14000US08005006501,8005006501,0.155373328,47743,634,0.303059273,2217,5762,5111
6,14000US08005006857,8005006857,0.164133739,146875,499,0.265143464,106,126,177
7,14000US08123001906,8123001906,0.108272506,67578,337,0.262256809,0,0,0
8,14000US08123002010,8123002010,0.103080082,60329,506,0.288483466,0,0,0
9,14000US08001008529,8001008529,0.149827229,65375,1216,0.208827065,1027,1394,1367
10,14000US08005007107,8005007107,0.221550357,125203,1646,0.238343469,322,812,728
11,14000US08005007103,8005007103,0.134382567,108365,271,0.196092619,0,0,0
12,14000US08005080500,8005080500,0.242688414,63625,722,0.228336496,1130,2652,2404
13,14000US08005083900,8005083900,0.27048892,59020,455,0.189504373,540,1364,1222
14,14000US08035013907,8035013907,0.090333092,102930,1098,0.26217765,0,92,46
15,14000US08035014202,8035014202,0.113685345,92404,458,0.296824368,0,0,0
16,14000US08014030800,8014030800,0.14199239,85742,1049,0.246765467,135,463,336
17,14000US08014031400,8014031400,0.147559809,117679,724,0.181499123,0,0,0
18,14000US08014031300,8014031300,0.094948047,159677,452,0.223541048,0,0,0
19,14000US08014031100,8014031100,0.157751092,66863,1425,0.27696793,1656,6594,3939
20,14000US08031005002,8031005002,0.444078546,41946,1721,0.271794062,2851,6429,5981
21,14000US08035014138,8035014138,0.176270136,85043,738,0.261424017,86,212,192
22,14000US08035014134,8035014134,0.161952915,140188,1139,0.246110631,0,138,69
23,14000US08035014132,8035014132,0.103980253,164219,1019,0.223857645,86,384,278
24,14000US08035014140,8035014140,0.112357414,161618,1100,0.274519591,0,230,115
25,14000US08035013910,8035013910,0.095420369,138771,1089,0.210516142,0,0,0
26,14000US08123002013,8123002013,0.071905822,106143,461,0.214318921,0,0,0
27,14000US08001061200,8001061200,0.111443211,132250,304,0.179988159,0,0,0
28,14000US08001008543,8001008543,0.09933486,78482,1405,0.212043465,240,378,339
29,14000US08001008542,8001008542,0.159995589,97245,1395,0.216446858,420,668,596
30,14000US08031015400,8031015400,0.101921132,70208,1212,0.296332518,2522,5430,5351
31,14000US08031004405,8031004405,0.2269153,84866,2078,0.28817085,1881,4416,4092
32,14000US08005004952,8005004952,0.311356576,50909,603,0.222345133,2027,5020,4499
33,14000US08013060600,8013060600,0.267922035,111696,1399,0.282512116,658,1750,1546
34,14000US08013012608,8013012608,0.150118203,80852,892,0.398036591,316,1120,760
35,14000US08013013213,8013013213,0.152612137,91341,2214,0.318194884,405,1286,1047
36,14000US08013012607,8013012607,0.186601129,24793,3145,0.584246703,879,2736,2189
37,14000US08013013505,8013013505,0.110591536,44479,635,0.205368693,354,1038,860
38,14000US08013060800,8013060800,0.095712377,54393,2339,0.34432504,1592,4671,3489
39,14000US08013012508,8013012508,0.122170543,76397,1143,0.406327764,789,2416,1982
40,14000US08013012509,8013012509,0.150842946,102450,755,0.28849828,3023,7733,6930
41,14000US08013012511,8013012511,0.180829261,53870,2786,0.461181924,1174,3012,2467
42,14000US08013012603,8013012603,0.094350784,108141,1102,0.385989492,616,2011,1579
43,14000US08013012701,8013012701,0.051215977,150117,1480,0.294527363,1608,4112,3712
44,14000US08013012705,8013012705,0.130265568,65963,1195,0.30806909,1772,4164,3866
45,14000US08013012708,8013012708,0.011111111,106186,1317,0.305497564,784,1540,1554
46,14000US08013012709,8013012709,0.058367769,111042,526,0.336102236,1032,1948,2006
47,14000US08013012903,8013012903,0.115876289,133750,609,0.315871369,893,2157,1837
48,14000US08013012904,8013012904,0.057122067,90982,1306,0.285090592,956,2125,1841
49,14000US08013012905,8013012905,0.130188679,54290,691,0.31843318,774,1850,1571
50,14000US08013060900,8013060900,0.098829649,74286,1116,0.29799733,731,2094,1667
51,14000US08013012907,8013012907,0.146507666,81250,678,0.245207957,827,2064,1816
52,14000US08013013003,8013013003,0.070402703,103701,1705,0.299438005,2306,5347,4563
53,14000US08031004404,8031004404,0.566511179,37976,1396,0.296768707,1665,4457,4051
54,14000US08031004403,8031004403,0.33020595,59229,1123,0.28943299,2071,5084,4774
55,14000US08013013004,8013013004,0.097657353,131406,866,0.338810642,1066,2576,2380
56,14000US08013013005,8013013005,0.095517774,86058,755,0.299009901,1715,4150,3826
57,14000US08013013006,8013013006,0.094620641,98611,1531,0.341207934,813,1976,1822
58,14000US08013013205,8013013205,0.03765308,110417,1316,0.29592984,537,1382,1228
59,14000US08013013207,8013013207,0.063989409,86635,1266,0.335898116,66,160,146
60,14000US08031003701,8031003701,0.156002265,67946,851,0.27015873,3405,8312,7282
61,14000US08031003702,8031003702,0.130857143,53354,1479,0.300609756,1745,4347,3885
62,14000US08031003703,8031003703,0.151754663,62680,727,0.260480115,2607,5116,4647
63,14000US08031003800,8031003800,0.117327229,107574,1474,0.228598015,3110,8780,7545
64,14000US08031003901,8031003901,0.064941176,126964,732,0.197730956,1874,4528,3870
65,14000US08031004102,8031004102,0.585741811,51958,1024,0.254346746,2846,6578,5930
66,14000US08031004103,8031004103,0.323184153,115977,1130,0.265882353,1723,4622,4011
